[2019-07-01 16:39:18 $40712.0]	WARNING	swManager_check_exit_status: worker#12[pid=40768] abnormal exit, status=0, signal=9
[2019-07-01 16:39:18 $40712.0]	WARNING	swManager_check_exit_status: worker#13[pid=40767] abnormal exit, status=0, signal=9
[2019-07-01 16:39:18 $40712.0]	WARNING	swManager_check_exit_status: worker#15[pid=40766] abnormal exit, status=0, signal=9
[2019-07-01 16:39:18 $40712.0]	WARNING	swManager_check_exit_status: worker#14[pid=40765] abnormal exit, status=0, signal=9
[2019-07-01 16:39:18 $40712.0]	WARNING	swManager_check_exit_status: worker#11[pid=40764] abnormal exit, status=0, signal=9
[2019-07-01 16:39:18 $40712.0]	WARNING	swManager_check_exit_status: worker#9[pid=40763] abnormal exit, status=0, signal=9
[2019-07-01 16:42:03 $40712.0]	INFO	Server is reloading all workers now
[2019-07-01 16:42:06 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=40781] exit timeout, forced kill
[2019-07-01 16:42:06 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=40793] exit timeout, forced kill
[2019-07-01 16:42:06 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=40787] exit timeout, forced kill
[2019-07-01 16:42:06 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=40792] exit timeout, forced kill
[2019-07-01 16:42:06 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=40788] exit timeout, forced kill
[2019-07-01 16:42:06 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=40789] exit timeout, forced kill
[2019-07-01 16:42:06 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=40791] exit timeout, forced kill
[2019-07-01 16:42:06 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=40790] exit timeout, forced kill
[2019-07-01 16:42:06 $40712.0]	WARNING	swManager_check_exit_status: worker#9[pid=40793] abnormal exit, status=0, signal=9
[2019-07-01 16:42:06 $40712.0]	WARNING	swManager_check_exit_status: worker#11[pid=40792] abnormal exit, status=0, signal=9
[2019-07-01 16:42:06 $40712.0]	WARNING	swManager_check_exit_status: worker#14[pid=40791] abnormal exit, status=0, signal=9
[2019-07-01 16:42:06 $40712.0]	WARNING	swManager_check_exit_status: worker#15[pid=40790] abnormal exit, status=0, signal=9
[2019-07-01 16:42:06 $40712.0]	WARNING	swManager_check_exit_status: worker#13[pid=40789] abnormal exit, status=0, signal=9
[2019-07-01 16:42:06 $40712.0]	WARNING	swManager_check_exit_status: worker#12[pid=40788] abnormal exit, status=0, signal=9
[2019-07-01 16:42:06 $40712.0]	WARNING	swManager_check_exit_status: worker#10[pid=40787] abnormal exit, status=0, signal=9
[41m[2019-07-01 16:42:07][DEBUG][ERROR] : [Class 'App\HttpController\Status' not found at file:/Users/liuqi/wwwroot/www/swapi/App/HttpController/Index.php line:29][0m
[41m[2019-07-01 16:44:02][DEBUG][ERROR] : [Class 'App\HttpController\Status' not found at file:/Users/liuqi/wwwroot/www/swapi/App/HttpController/Index.php line:29][0m
[2019-07-01 16:44:06 $40712.0]	INFO	Server is reloading all workers now
[2019-07-01 16:44:09 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=40802] exit timeout, forced kill
[2019-07-01 16:44:09 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=40814] exit timeout, forced kill
[2019-07-01 16:44:09 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=40820] exit timeout, forced kill
[2019-07-01 16:44:09 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=40815] exit timeout, forced kill
[2019-07-01 16:44:09 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=40819] exit timeout, forced kill
[2019-07-01 16:44:09 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=40818] exit timeout, forced kill
[2019-07-01 16:44:09 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=40816] exit timeout, forced kill
[2019-07-01 16:44:09 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=40817] exit timeout, forced kill
[2019-07-01 16:44:09 $40712.0]	WARNING	swManager_check_exit_status: worker#9[pid=40814] abnormal exit, status=0, signal=9
[2019-07-01 16:44:09 $40712.0]	WARNING	swManager_check_exit_status: worker#10[pid=40820] abnormal exit, status=0, signal=9
[2019-07-01 16:44:09 $40712.0]	WARNING	swManager_check_exit_status: worker#12[pid=40819] abnormal exit, status=0, signal=9
[2019-07-01 16:44:09 $40712.0]	WARNING	swManager_check_exit_status: worker#13[pid=40818] abnormal exit, status=0, signal=9
[2019-07-01 16:44:09 $40712.0]	WARNING	swManager_check_exit_status: worker#15[pid=40817] abnormal exit, status=0, signal=9
[2019-07-01 16:44:09 $40712.0]	WARNING	swManager_check_exit_status: worker#14[pid=40816] abnormal exit, status=0, signal=9
[2019-07-01 16:44:09 $40712.0]	WARNING	swManager_check_exit_status: worker#11[pid=40815] abnormal exit, status=0, signal=9
[2019-07-01 16:49:14 $40712.0]	INFO	Server is reloading all workers now
[2019-07-01 16:49:17 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=40845] exit timeout, forced kill
[2019-07-01 16:49:17 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=40855] exit timeout, forced kill
[2019-07-01 16:49:17 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=40856] exit timeout, forced kill
[2019-07-01 16:49:17 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=40861] exit timeout, forced kill
[2019-07-01 16:49:17 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=40857] exit timeout, forced kill
[2019-07-01 16:49:17 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=40858] exit timeout, forced kill
[2019-07-01 16:49:17 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=40860] exit timeout, forced kill
[2019-07-01 16:49:17 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=40859] exit timeout, forced kill
[2019-07-01 16:49:17 $40712.0]	WARNING	swManager_check_exit_status: worker#10[pid=40856] abnormal exit, status=0, signal=9
[2019-07-01 16:49:17 $40712.0]	WARNING	swManager_check_exit_status: worker#11[pid=40861] abnormal exit, status=0, signal=9
[2019-07-01 16:49:17 $40712.0]	WARNING	swManager_check_exit_status: worker#14[pid=40860] abnormal exit, status=0, signal=9
[2019-07-01 16:49:17 $40712.0]	WARNING	swManager_check_exit_status: worker#15[pid=40859] abnormal exit, status=0, signal=9
[2019-07-01 16:49:17 $40712.0]	WARNING	swManager_check_exit_status: worker#13[pid=40858] abnormal exit, status=0, signal=9
[2019-07-01 16:49:17 $40712.0]	WARNING	swManager_check_exit_status: worker#12[pid=40857] abnormal exit, status=0, signal=9
[2019-07-01 16:49:17 $40712.0]	WARNING	swManager_check_exit_status: worker#9[pid=40855] abnormal exit, status=0, signal=9
[2019-07-01 16:49:32 $40712.0]	INFO	Server is reloading all workers now
[2019-07-01 16:49:35 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=40869] exit timeout, forced kill
[2019-07-01 16:49:35 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=40887] exit timeout, forced kill
[2019-07-01 16:49:35 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=40881] exit timeout, forced kill
[2019-07-01 16:49:35 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=40882] exit timeout, forced kill
[2019-07-01 16:49:35 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=40886] exit timeout, forced kill
[2019-07-01 16:49:35 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=40885] exit timeout, forced kill
[2019-07-01 16:49:35 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=40883] exit timeout, forced kill
[2019-07-01 16:49:35 $40712.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=40884] exit timeout, forced kill
